 OUTWATCH                  ConvertToHDF5             Do not have               From File                 ************                                                 YES
 ACTION                    ConvertToHDF5             Do not have               From Block                CONVERT NETCDF CF TO HDF5 MOHID                              YES
 OUTPUT_GRID_FILENAME      ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                ************                                                 YES
 OUTPUTFILENAME            ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                Plataforma_SE_Bio.hdf5                                       YES
 OUTPUT_GEOMETRY_FILENAME  ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                ************                                                 YES
 PROPERTIES_NUMBER         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                5                                                            YES
 HDF5_OUT                  ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block                TRUE                                                         YES
 NETCDF_OUT                ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 READ_INVERT_XY            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 WINDOW_OUT                ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                                                                             YES
 NETCDF_NAME               ModuleNetCDFCF_2_HDF5MOHI time                      From Block In Block       time_counter                                                 YES
 REFERENCE_DATE_IN         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                                                                             YES
 REFERENCE_DATE_OUT        ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                                                                             YES
 DATE_TYPE_IN              ModuleNetCDFCF_2_HDF5MOHI 2                         From Block                2                                                            YES
 REF_DATE_ATTRIBUTE        ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block                TRUE                                                         YES
 REF_DATE_ATTRIBUTE_NAME   ModuleNetCDFCF_2_HDF5MOHI units                     From Block                units                                                        YES
 REF_DATE_OFF_SET          ModuleNetCDFCF_2_HDF5MOHI 0.0000000E+00             From Block                0.0000000E+00                                                YES
 NETCDF_DIM                ModuleNetCDFCF_2_HDF5MOHI time_counter              From Block In Block       time_counter                                                 YES
 NETCDF_NAME_LAT           ModuleNetCDFCF_2_HDF5MOHI latitude                  From Block In Block       latitude                                                     YES
 NETCDF_NAME_LONG          ModuleNetCDFCF_2_HDF5MOHI longitude                 From Block In Block       longitude                                                    YES
 STARTS_180W               ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block In Block       TRUE                                                         YES
 NETCDF_NAME_DEPTH         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       depth                                                        YES
 NETCDF_NAME_BATHYM        ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       ************                                                 YES
 BATHYM_FILENAME           ModuleNetCDFCF_2_HDF5MOHI Batim.dat                 From Block In Block       CMEMS_GridData.dat                                           YES
 BATHYM_FROM_MAP           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 BATHYM_TYPE_IN            ModuleNetCDFCF_2_HDF5MOHI 2                         From Block                2                                                            YES
 BATHYM_TYPE_IN            ModuleNetCDFCF_2_HDF5MOHI 2                         From Block                2                                                            YES
 FIELD_TYPE_IN             ModuleNetCDFCF_2_HDF5MOHI 2                         From Block                2                                                            YES
 BATHYM_DEFAULT            ModuleNetCDFCF_2_HDF5MOHI 0.0000000E+00             From Block In Block       0.0000000E+00                                                YES
 NETCDF_NAME_MAPPING       ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       CHL                                                          YES
 MAPPING_LIMIT             ModuleNetCDFCF_2_HDF5MOHI 0.5000000                 From Block In Block       32000.00                                                     YES
 MAPPING_INSTANT           ModuleNetCDFCF_2_HDF5MOHI 1                         From Block In Block       1                                                            YES
 GEO_VERT                  ModuleNetCDFCF_2_HDF5MOHI 2                         From Block In Block       2                                                            YES
 GEO_SIGMA                 ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 GEO_INTERPOLATE           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 GEO_POSITIVE              ModuleNetCDFCF_2_HDF5MOHI down                      From Block In Block       down                                                         YES
 INVERT_LAYER_ORDER        ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       TRUE                                                         YES
 ROMS_DISTORTION           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 NETCDF_NAME               ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       CHL                                                          YES
 ADD_FACTOR                ModuleNetCDFCF_2_HDF5MOHI 0.0000000E+00             From Block In Block       0.0000000E+00                                                YES
 MULTIPLY_FACTOR           ModuleNetCDFCF_2_HDF5MOHI 1.000000                  From Block In Block       5.9999999E-02                                                YES
 DIM                       ModuleNetCDFCF_2_HDF5MOHI 2                         From Block In Block       3                                                            YES
 NAME                      Unknown Client            Do not have               From Block In Block       phytoplankton                                                YES
 UNITS                     Unknown Client            Do not have               From Block In Block       mgC/l                                                        YES
 DESCRIPTION               Unknown Client            Do not have               From Block In Block       MOHID                                                        YES
 DIR_TO_VECTOR             ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_INTENSITY          ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WIND_DIRECTION            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_ROTATION           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 BEAUFORT_SCALE            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WAVE_BEAUFORT_SCALE       ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_X                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_Y                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 RELATIVE_HUMIDITY         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       FALSE                                                        YES
 METEO_TO_ALGEBRIC         ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 NETCDF_NAME               ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       PO4                                                          YES
 ADD_FACTOR                ModuleNetCDFCF_2_HDF5MOHI 0.0000000E+00             From Block In Block       0.0000000E+00                                                YES
 MULTIPLY_FACTOR           ModuleNetCDFCF_2_HDF5MOHI 1.000000                  From Block In Block       3.0970201E-02                                                YES
 DIM                       ModuleNetCDFCF_2_HDF5MOHI 2                         From Block In Block       3                                                            YES
 NAME                      Unknown Client            Do not have               From Block In Block       inorganic phosphorus                                         YES
 UNITS                     Unknown Client            Do not have               From Block In Block       mgP/l                                                        YES
 DESCRIPTION               Unknown Client            Do not have               From Block In Block       MOHID                                                        YES
 DIR_TO_VECTOR             ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_INTENSITY          ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WIND_DIRECTION            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_ROTATION           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 BEAUFORT_SCALE            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WAVE_BEAUFORT_SCALE       ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_X                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_Y                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 RELATIVE_HUMIDITY         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       FALSE                                                        YES
 METEO_TO_ALGEBRIC         ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 NETCDF_NAME               ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       NO3                                                          YES
 ADD_FACTOR                ModuleNetCDFCF_2_HDF5MOHI 0.0000000E+00             From Block In Block       0.0000000E+00                                                YES
 MULTIPLY_FACTOR           ModuleNetCDFCF_2_HDF5MOHI 1.000000                  From Block In Block       1.4225100E-02                                                YES
 DIM                       ModuleNetCDFCF_2_HDF5MOHI 2                         From Block In Block       3                                                            YES
 NAME                      Unknown Client            Do not have               From Block In Block       nitrate                                                      YES
 UNITS                     Unknown Client            Do not have               From Block In Block       mgN/l                                                        YES
 DESCRIPTION               Unknown Client            Do not have               From Block In Block       MOHID                                                        YES
 DIR_TO_VECTOR             ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_INTENSITY          ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WIND_DIRECTION            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_ROTATION           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 BEAUFORT_SCALE            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WAVE_BEAUFORT_SCALE       ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_X                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_Y                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 RELATIVE_HUMIDITY         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       FALSE                                                        YES
 METEO_TO_ALGEBRIC         ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 NETCDF_NAME               ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       O2                                                           YES
 ADD_FACTOR                ModuleNetCDFCF_2_HDF5MOHI 0.0000000E+00             From Block In Block       0.0000000E+00                                                YES
 MULTIPLY_FACTOR           ModuleNetCDFCF_2_HDF5MOHI 1.000000                  From Block In Block       3.1998798E-02                                                YES
 DIM                       ModuleNetCDFCF_2_HDF5MOHI 2                         From Block In Block       3                                                            YES
 NAME                      Unknown Client            Do not have               From Block In Block       oxygen                                                       YES
 UNITS                     Unknown Client            Do not have               From Block In Block       mgO/l                                                        YES
 DESCRIPTION               Unknown Client            Do not have               From Block In Block       MOHID                                                        YES
 DIR_TO_VECTOR             ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_INTENSITY          ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WIND_DIRECTION            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_ROTATION           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 BEAUFORT_SCALE            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WAVE_BEAUFORT_SCALE       ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_X                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_Y                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 RELATIVE_HUMIDITY         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       FALSE                                                        YES
 METEO_TO_ALGEBRIC         ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 NETCDF_NAME               ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       Si                                                           YES
 ADD_FACTOR                ModuleNetCDFCF_2_HDF5MOHI 0.0000000E+00             From Block In Block       0.0000000E+00                                                YES
 MULTIPLY_FACTOR           ModuleNetCDFCF_2_HDF5MOHI 1.000000                  From Block In Block       2.8085500E-02                                                YES
 DIM                       ModuleNetCDFCF_2_HDF5MOHI 2                         From Block In Block       3                                                            YES
 NAME                      Unknown Client            Do not have               From Block In Block       dissolved silica                                             YES
 UNITS                     Unknown Client            Do not have               From Block In Block       mgSi/l                                                       YES
 DESCRIPTION               Unknown Client            Do not have               From Block In Block       MOHID                                                        YES
 DIR_TO_VECTOR             ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_INTENSITY          ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WIND_DIRECTION            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 VECTOR_ROTATION           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 BEAUFORT_SCALE            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 WAVE_BEAUFORT_SCALE       ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_X                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 CENTER_Y                  ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 RELATIVE_HUMIDITY         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       FALSE                                                        YES
 METEO_TO_ALGEBRIC         ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
